Accidente colective de munca pe activitati economice CAEN Rev.1,ACC101A
Indicii preturilor productiei industriale pe total (piata interna si piata externa) pe activitati (diviziuni) CAEN Rev.2 si mari grupe industriale - evolutia lunara - 2015 = 100,PPI1030
Indicii preturilor productiei industriale pentru piata interna pe activitati (diviziuni) CAEN Rev.2 si mari grupe industriale - evolutia lunara - 2015 = 100,PPI1031
Indicii preturilor productiei industriale pentru piata externa pe activitati (diviziuni) CAEN Rev.2 si mari grupe industriale - evolutia lunara - 2015 = 100,PPI1032
Indicii preturilor productiei industriale pe total (piata interna si piata externa) pe activitati (clase) CAEN Rev.2 - evolutia lunara - 2015 = 100,PPI1033
Indicii preturilor productiei industriale pentru piata interna pe activitati (clase) CAEN Rev. 2 - evolutia lunara - 2015 = 100,PPI1034
Indicii preturilor productiei pentru servicii - evolutia trimestriala - 2015 = 100,PPS103A
Valoarea serviciilor prestate pentru populatie pe categorii de servicii CAEN Rev.1 si forme de proprietate,PSC101B
Valoarea serviciilor prestate pentru populatie pe activitati CAEN Rev.2 si forme de proprietate,PSC101C
Valoarea serviciilor prestate pentru agenti economici pe categorii de servicii CAEN Rev.1 si forme de proprietate,PSC102A
Valoarea serviciilor prestate pentru agenti economici pe categorii de servicii CAEN Rev.2 si forme de proprietate,PSC102B
"Valoarea serviciilor de transporturi, posta si telecomunicatii pe activitati CAEN Rev.1 si forme de proprietate",PSC103A
Indicii serviciilor comerciale prestate pentru populatie pe activitati CAEN Rev.1 - an baza=1993,PSC104A
Indicii serviciilor comerciale prestate pentru populatie pe activitati CAEN Rev.1 - an baza = an precedent,PSC104B
Indicii serviciilor comerciale prestate pentru populatie pe activitati CAEN Rev.2 - an baza = an precedent,PSC104C
"Indicii volumului cifrei de afaceri in serviciile de piata pentru populatie, serie bruta - an de baza 2015",PSC107O
"Indicii volumului cifrei de afaceri in serviciile de piata pentru populatie, serie ajustata cu numarul de zile lucratoare si de sezonalitate - an de baza 2015",PSC107P
"Indicii volumului cifrei de afaceri in serviciile de piata pentru populatie, serie ajustata cu numarul de zile lucratoare - an de baza 2015",PSC107R
"Indicii valorici ai cifrei de afaceri in serviciile de piata pentru populatie, serie bruta - an de baza 2015",PSC107S
"Indicii valorici ai cifrei de afaceri in serviciile de piata pentru populatie, serie ajustata cu numarul de zile lucratoare si de sezonalitate - an de baza 2015",PSC107T
"Indicii valorici ai cifrei de afaceri in serviciile de piata pentru populatie, serie ajustata cu numarul de zile lucratoare - an de baza 2015",PSC107U
"Indicii valorici ai cifrei de afaceri  pentru servicii de piata prestate in special intreprinderilor, serie bruta - an de baza 2015",PSC108G
"Indicii valorici ai cifrei de afaceri  pentru servicii de piata prestate in special intreprinderilor, serie ajustata cu numarul de zile lucratoare si de sezonalitate - an de baza 2015",PSC108H
"Indicii valorici ai cifrei de afaceri  pentru servicii de piata prestate in special intreprinderilor, serie ajustata cu numarul de zile lucratoare - an de baza 2015",PSC108I
"Indicii de productie ai cifrei de afaceri pentru servicii de piata prestate in special intreprinderilor, serie bruta - an de baza 2015",PSC108J
"Indicii de productie ai cifrei de afaceri pentru servicii de piata prestate in special intreprinderilor, serie ajustata cu numarul de zile lucratoare si de sezonalitate - an de baza 2015",PSC108K
"Indicii de productie ai cifrei de afaceri pentru servicii de piata prestate in special intreprinderilor, serie ajustata cu numarul de zile lucratoare - an de baza 2015",PSC108L
"Unitati de posta, pe tipuri de unitati",PTT101A
"Unitati de posta, pe macroregiuni, regiuni de dezvoltare si judete",PTT101B
"Volumul activitatii de posta, pe categorii de prestatii de posta, macroregiuni, regiuni de dezvoltare si judete",PTT102A
"Abonamente radio pe medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",PTT102B
"Unitati cu servicii de telefonie si telegrafie pentru public, pe macroregiuni, regiuni de dezvoltare si judete",PTT103A
"Volumul activitatii de telefonie, pe categorii de activitati, pe macroregiuni, regiuni de dezvoltare si judete",PTT104A
Activitati de telefonie pe retele telefonice,PTT104B
"Capacitatea  centralelor telefonice locale echipate, pe tipuri de centrale, macroregiuni, regiuni de dezvoltare si judete",PTT105A
"Posturi telefonice, pe macroregiuni, regiuni de dezvoltare si judete",PTT106A
"Capacitatea centralelor telefonice locale in functiune, pe tipuri de centrale, macroregiuni, regiuni de dezvoltare si judete",PTT107A
"Capacitatea echipata a centralelor telegrafice, pe macroregiuni, regiuni de dezvoltare si judete",PTT108A
"Statii de radiodifuziune, pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",PTT109A
"Statii de televiziune, pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",PTT110A
"Translatoare de radio si televiziune, pe feluri de translatoare, forme de proprietate, pe macroregiuni, regiuni de dezvoltare si judete",PTT111A
"Abonamente de televiziune, pe macroregiuni, regiuni de dezvoltare si judete",PTT112A
"Intreprinderi active, numarul mediu de salariati  si cifra de afaceri pe activitati ale economiei nationale la nivel de clase CAEN Rev.2 si clase de marime dupa numarul de salariati",RSI101A
Institutii ale administratiei publice si numarul mediu de salariati pe activitati ale economiei nationale la nivel de clase CAEN Rev.2 si clase de marime dupa numarul de salariati,RSI101B
"Organizatii ale administratiei private si numarul mediu de salariati, pe activitati ale economiei nationale la nivel de clase CAEN Rev.2 si clase de marime dupa numarul de salariati",RSI101C
Numar mediu de salariati pe sectoare de activitate potrivit prevederilor HG. 1260/2011 privind sectoarele de activitate stabilite conform Legii 62/2011,RSI101D
"Unitati sanitare pe categorii de unitati, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",SAN101A
"Unitati sanitare pe categorii de unitati, forme de proprietate, judete si localitati",SAN101B
"Paturi de spital aferente anumitor specialitati medicale, la sfarsitul anului",SAN102A
"Paturi in unitatile sanitare pe categorii de unitati sanitare, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",SAN102B
"Paturi in unitatile sanitare pe categorii de unitati sanitare, forme de proprietate, judete si localitati",SAN102C
"Copii inscrisi in crese pe macroregiuni, forme de proprietate, regiuni de dezvoltare si judete",SAN103A
"Copii inscrisi in crese pe forme de proprietate, judete si localitati",SAN103B
"Personalul medico-sanitar pe categorii, forme de proprietate, sexe, macroregiuni, regiuni de dezvoltare si judete",SAN104A
"Personalul medico-sanitar pe categorii, forme de proprietate, judete si localitati",SAN104B
"Pacienti iesiti din spital, pe clase de boli",SAN105A
"Asistenta medicala de urgenta, pe elemente specifice",SAN107A
"Activitatea de recoltare si conservare a sangelui, pe elemente specifice, in unitati proprietate majoritar de stat",SAN108A
Cazuri noi de imbolnavire prin unele boli infectioase si parazitare,SAN109A
"Cazuri noi de imbolnavire, pe clase de boli, declarate de medicii de familie",SAN109B
"Repartizarea persoanelor admise la tratament, ca urmare a consumului de droguri, pe sexe",SAN110A
"Repartizarea persoanelor admise la tratament, ca urmare a consumului de droguri, pe  grupe de varsta",SAN110B
"Repartizarea persoanelor admise la tratament, ca urmare a consumului de droguri, pe tipuri de droguri",SAN110C
Pragul saraciei relative,SAR101A
"Rata saraciei relative, pe sexe",SAR102A
"Rata saraciei relative, pe grupe de varsta",SAR102B
" Rata saraciei relative, dupa tipul gospodariei",SAR102C
"Rata saraciei relative, pe macroregiuni si  regiuni de dezvoltare",SAR102D
"Rata saraciei relative a persoanelor de 18 ani si peste, dupa activitatea principala",SAR103A
"Rata saraciei relative inainte de transferurile sociale, inclusiv pensiile, pe sexe",SAR104A
"Rata saraciei relative inainte de transferurile sociale, inclusiv pensiile, pe grupe de varsta
",SAR104B
"Rata saraciei relative inainte de transferurile sociale, exclusiv pensiile, pe sexe",SAR105A
"Rata saraciei relative inainte de transferurile sociale, exclusiv pensiile, pe grupe de varsta",SAR105B
"Indicele inegalitatii veniturilor, pe grupe de varsta",SAR106A
Coeficientul Gini,SAR107A
Rata deprivarii materiale din punct de vedere economic,SAR108A
Rata deprivarii materiale din punct de vedere al inzestrarii cu unele bunuri de folosinta indelungata,SAR109A
Rata deprivarii materiale din punct de vedere al conditiilor de locuit,SAR110A
"Rata riscului de saracie sau excluziune sociala (AROPE), pe sexe",SAR111A
"Rata riscului de saracie sau excluziune sociala (AROPE), pe grupe de varsta",SAR111B
"Rata riscului de saracie sau excluziune sociala (AROPE), pe macroregiuni si regiuni de dezvoltare",SAR111C
"Rata riscului de saracie sau excluziune sociala (AROPE) a persoanelor de 18 ani si peste, dupa activitatea principala",SAR111D
"Rata deprivarii materiale severe, pe sexe",SAR112A
"Rata deprivarii materiale severe, pe grupe de varsta",SAR112B
"Rata deprivarii materiale severe, pe macroregiuni si regiuni de dezvoltare",SAR112C
"Rata persoanelor de sub 60 ani din gospodariile cu intensitate foarte redusa a muncii, pe sexe",SAR113A
"Rata persoanelor de sub 60 ani din gospodariile cu intensitate foarte redusa a muncii, pe grupe de varsta",SAR113B
" Rata persoanelor de sub 60 ani din gospodariile cu intensitate foarte redusa a muncii, pe macroregiuni si regiuni de dezvoltare",SAR113C
"Rata riscului de saracie sau excluziune sociala (AROPE-definitie noua), pe sexe si grupe de varsta",SAR114A
"Rata riscului de saracie sau excluziune sociala (AROPE-definitie noua), pe macroregiuni si regiuni de dezvoltare",SAR114B
"Rata deprivarii materiale si sociale severe,pe sexe si grupe de varsta",SAR115A
"Rata deprivarii materiale si sociale severe,pe macroregiuni si regiuni de dezvoltare",SAR115B
"Rata persoanelor de sub 64 ani din gospodariile cu intensitate foarte redusa a muncii, pe sexe si grupe de varsta",SAR116A
"Unitatile de invatamant, pe categorii, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",SCL101A
"Unitatile de invatamant, pe niveluri de educatie, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",SCL101B
"Unitatile de invatamant pe niveluri de educatie, judete si localitati",SCL101C
"Unitatile de invatamant, pe categorii si medii de rezidenta",SCL101D
"Facultati pe forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",SCL101E
"Gradul de cuprindere in invatamant a populatiei de varsta scolara, pe sexe",SCL102A
"Populatia scolara, pe niveluri de educatie, varste scolare si sexe",SCL103A
"Copii si elevi inscrisi in invatamantul preuniversitar, pe niveluri de educatie, limbi de predare, macroregiuni, regiuni de dezvoltare si judete",SCL103B
"Populatia scolara, pe niveluri de educatie, judete si localitati",SCL103D
"Populatia scolara, pe niveluri de educatie, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",SCL103E
"Populatia scolara, pe niveluri de educatie, sexe, macroregiuni, regiuni de dezvoltare si judete",SCL103F
"Populatia scolara, pe niveluri de educatie, forme de invatamant, macroregiuni, regiuni de dezvoltare si judete",SCL103G
"Populatia scolara, pe niveluri de educatie, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",SCL103H
"Populatia scolara, pe niveluri de educatie si medii de rezidenta",SCL103I
"Elevii inscrisi in invatamantul preuniversitar, dupa studiul limbilor moderne",SCL103J
"Elevi inscrisi in invatamantul profesional si postliceal, pe tipuri de scoli si profiluri de pregatire",SCL103K
"Studenti si cursanti inscrisi in invatamantul superior, pe grupe de specializari",SCL103L
"Personalul didactic,  pe niveluri de educatie, sexe, macroregiuni, regiuni de dezvoltare si judete",SCL104A
"Personalul didactic din invatamantul preuniversitar, pe niveluri de educatie, limbi de predare, macroregiuni, regiuni de dezvoltare si judete",SCL104B
"Personalul didactic, pe niveluri de educatie, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",SCL104C
"Personalul didactic, pe niveluri de educatie, judete si localitati",SCL104D
"Personalul didactic, pe niveluri de educatie, medii de rezidenta, macroregiuni, regiuni de dezvoltare si judete",SCL104E
"Personalul didactic, pe niveluri de educatie si medii de rezidenta",SCL104F
Sali de clasa (cabinete scolare/amfiteatre) pe niveluri de educatie si medii de rezidenta,SCL105A
"Sali de clasa (cabinete scolare/amfiteatre) pe niveluri de educatie, judete si localitati",SCL105B
"Sali de clasa (cabinete scolare/amfiteatre) pe niveluri de educatie, macroregiuni, regiuni de dezvoltare si judete",SCL105C
Laboratoare scolare pe niveluri de educatie si medii de rezidenta,SCL106A
"Laboratoare scolare pe niveluri de educatie, macroregiuni, regiuni de dezvoltare si judete",SCL106B
"Laboratoare scolare pe niveluri de educatie, judete si localitati",SCL106C
Sali de gimnastica pe niveluri de educatie si medii de rezidenta,SCL107A
"Sali de gimnastica pe niveluri de educatie, macroregiuni, regiuni de dezvoltare si judete",SCL107B
"Sali de gimnastica pe niveluri de educatie, judete si localitati",SCL107C
Ateliere scolare pe niveluri de educatie si medii de rezidenta,SCL108A
"Ateliere scolare pe niveluri de educatie, judete si localitati",SCL108B
"Ateliere scolare pe niveluri de educatie, macroregiuni, regiuni de dezvoltare si judete",SCL108C
"Absolventi pe niveluri de educatie, sexe, macroregiuni, regiuni de dezvoltare si judete",SCL109A
"Absolventi pe niveluri de educatie, forme de invatamant, macroregiuni, regiuni de dezvoltare si judete",SCL109B
Absolventi pe niveluri de educatie si medii de rezidenta,SCL109C
"Absolventi pe niveluri de educatie, judete si localitati",SCL109D
"Absolventi in invatamantul profesional si postliceal, pe tipuri de scoli si profiluri de pregatire",SCL109E
"Numarul elevilor care au promovat examenul de bacalaureat, pe sexe, macroregiuni, regiuni de dezvoltare si judete",SCL109G
"Absolventi in invatamantul superior, pe grupe de specializari, forme de proprietate, macroregiuni, regiuni de dezvoltare si judete",SCL109H
